alias_id,source_scope,raw_chain_name,chain_network_id,namespace_id,address_codec_id,address_type,asset_hint,token_standard_hint,status,evidence_ref,source_id,approved_by,approved_at,approval_notes
61,cex_por_workbook:Bybit,Sui,29,27,30,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Sui&rows=2,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
62,cex_por_workbook:Bybit,Ton,31,29,50,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Ton&rows=7,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
63,cex_por_workbook:Bybit,Tron,9,11,21,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Tron&rows=33,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
64,cex_por_workbook:Bybit,Vaulta,101,104,112,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=Vaulta&rows=2,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
65,cex_por_workbook:Bybit,XDC,74,77,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=XDC&rows=1,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
66,cex_por_workbook:Bybit,ZKSync Era,18,16,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=ZKSync%20Era&rows=6,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
67,cex_por_workbook:Bybit,ZKSync Lite,112,115,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=Bybit&distinct_chain=ZKSync%20Lite&rows=4,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
68,cex_por_workbook:KuCoin,Aptos,30,28,31,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=Aptos&rows=5,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
69,cex_por_workbook:KuCoin,Arbitrum,5,7,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=Arbitrum&rows=8,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
70,cex_por_workbook:KuCoin,Aurora,58,61,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=Aurora&rows=5,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
71,cex_por_workbook:KuCoin,Avalanche C-Chain,14,12,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=Avalanche%20C-Chain&rows=7,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
72,cex_por_workbook:KuCoin,Base,4,6,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=Base&rows=9,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
73,cex_por_workbook:KuCoin,Bitcoin,1,47,13,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=Bitcoin&rows=58,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
74,cex_por_workbook:KuCoin,Blast,22,20,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=Blast&rows=3,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
